GameTime,PreyPopulation,PredatorPopulation,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
50.370293,11,7,0,0,0,1
50.370293,11,7,0,0,0,1
51.003967,11,7,0,0,0,1
51.003967,11,7,0,0,0,1
51.003967,11,7,0,0,0,1
51.003967,11,7,0,0,0,1
51.003967,11,7,0,0,0,1
51.003967,11,7,0,0,0,1
51.003967,11,7,0,0,0,1
62.621822,10,0,1,0,0,0
62.621822,11,0,1,0,0,0
62.621822,12,0,1,0,0,0
62.621822,13,0,1,0,0,0
63.141785,14,0,1,0,0,0
63.141785,15,0,1,0,0,0
63.659203,16,0,1,0,0,0
65.689865,17,0,1,0,0,0
98.284241,18,0,1,0,0,0
112.955849,18,0,0,0,0,1
113.985886,17,0,0,0,0,1
113.985886,17,0,0,0,0,1
124.267654,16,0,1,0,0,0
124.657944,17,0,1,0,0,0
125.292587,18,0,1,0,0,0
125.68074,19,0,1,0,0,0
125.811363,20,0,1,0,0,0
125.811363,21,0,1,0,0,0
126.322556,22,0,1,0,0,0
127.344566,23,0,1,0,0,0
128.384644,24,0,1,0,0,0
131.835434,24,0,0,0,0,1
138.434097,23,0,0,0,0,1
138.67424,24,0,1,0,0,0
147.61557,24,0,1,0,0,0
148.837265,24,0,0,0,0,1
158.858566,23,0,0,0,0,1
163.759781,23,0,1,0,0,0
186.806854,24,0,1,0,0,0
186.956482,25,0,1,0,0,0
186.956482,26,0,1,0,0,0
187.636902,27,0,1,0,0,0
188.149002,28,0,1,0,0,0
188.669556,29,0,1,0,0,0
188.875778,30,0,1,0,0,0
188.875778,31,0,1,0,0,0
189.897507,32,0,1,0,0,0
191.47316,33,0,1,0,0,0
192.520966,34,0,1,0,0,0
193.273422,35,0,1,0,0,0
194.068909,36,0,1,0,0,0
197.284149,36,0,0,0,0,1
201.302582,36,0,1,0,0,0
202.839233,37,0,1,0,0,0
209.115204,37,0,0,0,0,1
224.663269,36,0,0,0,0,1
225.972321,36,0,1,0,0,0
230.663818,36,0,0,0,0,1
233.225037,35,0,0,0,0,1
236.285492,34,0,0,0,0,1
239.177734,33,0,0,0,0,1
239.842651,33,0,0,0,0,1
243.746552,31,0,0,0,0,1
244.259644,31,0,0,0,0,1
245.4151,29,0,0,0,0,1
249.498672,29,0,1,0,0,0
249.578903,30,0,1,0,0,0
252.138062,30,0,0,0,0,1
253.083313,31,0,1,0,0,0
253.083313,32,0,1,0,0,0
253.6082,32,0,1,0,0,0
256.683136,33,0,1,0,0,0
258.204285,34,0,1,0,0,0
260.862976,34,0,0,0,0,1
266.850525,34,0,1,0,0,0
270.074615,34,0,0,0,0,1
274.174438,33,0,0,0,0,1
285.473083,33,0,1,0,0,0
286.42337,34,0,1,0,0,0
287.442596,35,0,1,0,0,0
289.801422,36,0,1,0,0,0
291.038055,37,0,1,0,0,0
291.825928,37,0,0,0,0,1
294.111115,36,0,0,0,0,1
298.801086,36,0,1,0,0,0
