GameTime,PreyPopulation,PredatorPopulation,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
32.052296,11,7,0,0,0,1
50.536999,10,7,0,0,0,1
50.536999,10,7,0,0,0,1
50.536999,10,7,0,0,0,1
50.536999,10,7,0,0,0,1
50.536999,10,7,0,0,0,1
54.000954,5,7,0,0,0,1
54.000954,5,7,0,0,0,1
54.000954,5,7,0,0,0,1
54.000954,5,7,0,0,0,1
55.623253,5,3,0,0,0,1
62.220982,5,3,1,0,0,0
62.728081,6,3,1,0,0,0
63.235149,7,3,1,0,0,0
66.292534,7,3,0,0,0,1
71.892159,7,3,1,0,0,0
83.003197,7,4,1,1,0,0
94.003143,7,4,0,0,0,1
122.229492,7,3,0,0,0,1
124.181557,7,3,1,0,0,0
124.264816,8,3,1,0,0,0
125.211952,9,3,1,0,0,0
126.746635,10,3,1,0,0,0
128.357513,11,3,1,0,0,0
141.000046,11,3,0,0,0,1
153.000214,11,2,0,0,0,1
165.001373,11,1,0,0,0,1
178.965485,12,0,1,0,0,0
178.965485,12,0,0,0,0,1
180.849747,11,0,0,0,0,1
186.607971,11,0,1,0,0,0
186.932297,12,0,1,0,0,0
187.439148,13,0,1,0,0,0
188.95668,14,0,1,0,0,0
189.175232,15,0,1,0,0,0
190.731262,16,0,1,0,0,0
213.452103,16,0,0,0,0,1
239.120132,15,0,0,0,0,1
241.19487,15,0,1,0,0,0
242.426239,15,0,0,0,0,1
244.962402,14,0,0,0,0,1
246.795609,13,0,0,0,0,1
248.824005,13,0,1,0,0,0
248.996002,14,0,1,0,0,0
250.045853,15,0,1,0,0,0
251.372314,16,0,1,0,0,0
253.926819,17,0,1,0,0,0
260.051453,18,0,1,0,0,0
264.266418,19,0,1,0,0,0
270.386627,20,0,1,0,0,0
277.569611,21,0,1,0,0,0
