GameTime,PreyPopulation,PredatorPopulation,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
46.249332,7,3,0,0,0,1
50.324402,6,3,0,0,0,1
50.324402,6,3,0,0,0,1
50.324402,6,3,0,0,0,1
52.002949,3,3,0,0,0,1
61.964386,4,2,1,0,0,0
74.133698,5,2,1,0,0,0
84.27961,6,2,1,0,0,0
90.003311,6,2,0,0,0,1
105.595291,6,1,0,0,0,1
115.727074,5,1,0,0,0,1
123.754463,5,1,1,0,0,0
135.96077,6,1,1,0,0,0
155.810074,7,1,1,0,0,0
157.002716,7,1,0,0,0,1
159.899948,8,0,1,0,0,0
186.113846,9,0,1,0,0,0
192.741867,10,0,1,0,0,0
194.821091,10,0,0,0,0,1
206.47316,9,0,0,0,0,1
207.982178,9,0,1,0,0,0
212.051514,9,0,0,0,0,1
221.698822,9,0,1,0,0,0
233.305923,10,0,1,0,0,0
246.940018,11,0,1,0,0,0
249.485092,11,0,0,0,0,1
257.101929,11,0,1,0,0,0
279.434387,12,0,1,0,0,0
283.06366,13,0,1,0,0,0
297.082336,13,0,0,0,0,1
