GameTime,PreyPopulation,PredatorPopulation,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
50.521091,11,7,0,0,0,1
50.521091,11,7,0,0,0,1
52.001053,9,7,0,0,0,1
52.001053,9,7,0,0,0,1
52.001053,9,7,0,0,0,1
52.001053,9,7,0,0,0,1
52.001053,9,7,0,0,0,1
61.758251,10,2,1,0,0,0
61.758251,11,2,1,0,0,0
62.791809,12,2,1,0,0,0
67.003044,12,3,1,1,0,0
69.997498,13,3,1,0,0,0
74.637283,14,3,1,0,0,0
75.651207,14,3,0,0,0,1
75.651207,14,3,0,0,0,1
77.720764,13,3,1,0,0,0
85.391197,13,3,0,0,0,1
88.437851,12,3,0,0,0,1
92.002693,11,3,0,0,0,1
111.806015,11,2,0,0,0,1
112.440559,11,2,0,0,0,1
112.842049,10,2,0,0,0,1
117.518082,8,2,0,0,0,1
120.567139,7,2,0,0,0,1
120.972206,7,2,0,0,0,1
125.087784,5,2,0,0,0,1
126.518913,5,2,1,0,0,0
126.676392,6,2,1,0,0,0
138.000732,6,2,0,0,0,1
154.560699,7,1,1,0,0,0
162.00087,7,1,0,0,0,1
172.869949,8,0,1,0,0,0
187.945038,9,0,1,0,0,0
188.454178,10,0,1,0,0,0
188.593079,11,0,1,0,0,0
217.036209,12,0,1,0,0,0
225.551331,12,0,0,0,0,1
236.796127,12,0,1,0,0,0
239.870056,12,0,0,0,0,1
242.290207,11,0,0,0,0,1
244.441116,11,0,1,0,0,0
250.802628,12,0,1,0,0,0
252.578552,13,0,1,0,0,0
259.077332,14,0,1,0,0,0
269.140472,15,0,1,0,0,0
282.584137,16,0,1,0,0,0
291.225616,17,0,1,0,0,0
292.251495,18,0,1,0,0,0
298.363098,19,0,1,0,0,0
298.827881,20,0,1,0,0,0
