GameTime,PreyPopulation,PredatorPopulation,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
44.254902,3,11,0,0,0,1
50.3778,2,11,0,0,0,1
53.003681,1,11,0,0,0,1
53.003681,1,11,0,0,0,1
53.003681,1,11,0,0,0,1
53.003681,1,11,0,0,0,1
53.003681,1,11,0,0,0,1
53.003681,1,11,0,0,0,1
53.003681,1,11,0,0,0,1
53.003681,1,11,0,0,0,1
53.003681,1,11,0,0,0,1
53.003681,1,11,0,0,0,1
61.521423,2,1,1,0,0,0
92.003952,2,1,0,0,0,1
112.531799,2,0,0,0,0,1
123.633194,2,0,1,0,0,0
173.678986,2,0,0,0,0,1
192.473526,2,0,1,0,0,0
242.996841,2,0,0,0,0,1
253.610611,2,0,1,0,0,0
