GameTime,PreyPopulation,PredatorPopulation,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
50.571533,11,3,0,0,0,1
50.571533,11,3,0,0,0,1
50.571533,11,3,0,0,0,1
56.00034,8,3,0,0,0,1
61.757011,9,2,1,0,0,0
61.757011,10,2,1,0,0,0
61.757011,11,2,1,0,0,0
61.757011,12,2,1,0,0,0
61.757011,13,2,1,0,0,0
66.000923,13,3,1,1,0,0
66.901749,13,3,0,0,0,1
68.432144,12,3,0,0,0,1
80.181526,11,3,0,0,0,1
85.30088,10,3,0,0,0,1
86.002876,10,3,0,0,0,1
112.836746,9,2,0,0,0,1
119.001053,8,2,0,0,0,1
123.50602,9,1,1,0,0,0
123.626778,10,1,1,0,0,0
124.013885,11,1,1,0,0,0
125.556053,12,1,1,0,0,0
136.865479,13,1,1,0,0,0
139.00296,13,1,0,0,0,1
142.405075,13,0,0,0,0,1
145.549728,13,0,1,0,0,0
170.043396,14,0,1,0,0,0
185.73056,15,0,1,0,0,0
185.835556,16,0,1,0,0,0
200.535019,17,0,1,0,0,0
200.567078,18,0,1,0,0,0
200.594925,19,0,1,0,0,0
204.031342,19,0,0,0,0,1
207.151993,19,0,1,0,0,0
207.233826,20,0,1,0,0,0
215.325439,20,0,0,0,0,1
232.218063,20,0,1,0,0,0
236.651108,20,0,0,0,0,1
243.815842,19,0,0,0,0,1
246.36058,19,0,1,0,0,0
248.009155,20,0,1,0,0,0
251.464279,20,0,0,0,0,1
252.489059,19,0,0,0,0,1
257.561462,18,0,0,0,0,1
258.0755,18,0,0,0,0,1
263.660248,17,0,1,0,0,0
266.224609,18,0,1,0,0,0
267.835968,19,0,1,0,0,0
269.876892,20,0,1,0,0,0
282.002563,21,0,1,0,0,0
282.002563,22,0,1,0,0,0
288.265106,23,0,1,0,0,0
291.193359,24,0,1,0,0,0
295.357483,25,0,1,0,0,0
295.873657,26,0,1,0,0,0
295.873657,27,0,1,0,0,0
