GameTime,PreyPopulation,PredatorPopulation,FPS,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
30.013954,5,5,58.176327,0,0,0,0
30.028854,5,5,67.111702,0,0,0,0
30.042728,5,5,72.080528,0,0,0,0
30.05588,5,5,76.040977,0,0,0,0
30.068613,5,5,78.527397,0,0,0,0
30.082764,5,5,70.671799,0,0,0,0
30.096544,5,5,72.570305,0,0,0,0
60.003536,5,5,71.871773,0,0,0,0
60.017715,5,5,70.530014,0,0,0,0
60.032001,5,5,69.993706,0,0,0,0
60.045769,5,5,72.626518,0,0,0,0
60.058781,5,5,76.853661,0,0,0,0
60.072319,5,5,73.857727,0,0,0,0
60.086349,5,5,71.280785,0,0,0,0
90.007713,6,5,69.55899,1,0,0,0
90.021698,6,5,71.520462,0,0,0,0
90.056244,6,5,28.949438,0,0,0,0
90.092491,6,5,27.586775,0,0,0,0
120.000603,2,0,89.833961,0,0,0,0
120.013321,2,0,78.632286,0,0,0,0
120.024887,2,0,86.473503,0,0,0,0
120.035751,2,0,92.06897,0,0,0,0
120.048363,2,0,79.282471,0,0,0,0
120.059959,2,0,86.223129,0,0,0,0
120.070099,2,0,98.653526,0,0,0,0
120.082191,2,0,82.704437,0,0,0,0
120.093758,2,0,86.44101,0,0,0,0
150.007553,4,0,81.650665,2,0,0,0
150.020142,4,0,79.411819,0,0,0,0
150.032455,4,0,81.247047,0,0,0,0
150.043854,4,0,87.74749,0,0,0,0
150.056335,4,0,80.107986,0,0,0,0
150.068649,4,0,81.200134,0,0,0,0
150.080887,4,0,81.666466,0,0,0,0
150.092117,4,0,88.987602,0,0,0,0
180.012009,4,0,69.497887,0,0,0,0
180.024536,4,0,79.840157,0,0,0,0
180.036575,4,0,83.019073,0,0,0,0
180.048706,4,0,82.483452,0,0,0,0
180.062302,4,0,73.555107,0,0,0,0
180.07547,4,0,75.9748,0,0,0,0
180.092819,4,0,57.620113,0,0,0,0
210.003723,8,0,50.388214,4,0,0,0
210.018082,8,0,69.608742,0,0,0,0
210.037003,8,0,52.847824,0,0,0,0
210.051758,8,0,67.760246,0,0,0,0
210.065765,8,0,71.407471,0,0,0,0
210.080627,8,0,67.297264,0,0,0,0
210.093185,8,0,79.611633,0,0,0,0
240.005783,8,0,59.532269,0,0,0,0
240.02507,8,0,51.852909,0,0,0,0
240.038528,8,0,74.299988,0,0,0,0
240.053329,8,0,67.568535,0,0,0,0
240.072998,8,0,50.852859,0,0,0,0
240.08725,8,0,70.187775,0,0,0,0
270.00058,16,0,46.672787,8,0,0,0
270.027313,16,0,37.386486,0,0,0,0
270.049316,16,0,45.468052,0,0,0,0
270.073578,16,0,41.216877,0,0,0,0
270.091217,16,0,56.73291,0,0,0,0
300.010925,16,0,57.792458,0,0,0,0
300.028625,16,0,56.479733,0,0,0,0
300.055786,16,0,36.835358,0,0,0,0
300.072937,16,0,58.335876,0,0,0,0
300.091949,16,0,52.635723,0,0,0,0
