GameTime,PreyPopulation,PredatorPopulation,FPS,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
30.006813,5,5,80.654213,0,0,0,0
30.023548,5,5,59.757126,0,0,0,0
30.037134,5,5,73.608574,0,0,0,0
30.052364,5,5,65.661537,0,0,0,0
30.067101,5,5,67.860161,0,0,0,0
30.084721,5,5,56.754539,0,0,0,0
30.099972,5,5,65.566269,0,0,0,0
60.011971,5,5,78.958504,0,0,0,0
60.026615,5,5,68.288567,0,0,0,0
60.04369,5,5,58.565327,0,0,0,0
60.05809,5,5,69.440681,0,0,0,0
60.073586,5,5,64.528313,0,0,0,0
60.087898,5,5,69.870041,0,0,0,0
90.009712,6,6,67.270447,2,1,0,0
90.024399,6,6,68.095657,0,0,0,0
90.040375,6,6,62.592781,0,0,0,0
90.05999,6,6,50.987053,0,0,0,0
120.013863,2,4,45.361313,1,1,0,0
120.030029,2,4,61.847969,0,0,0,0
120.049591,2,4,51.116787,0,0,0,0
120.070404,2,4,48.044109,0,0,0,0
120.084488,2,4,71.014824,0,0,0,0
120.099792,2,4,65.351288,0,0,0,0
150.022324,4,6,41.718197,4,3,0,0
150.044098,4,6,45.928406,0,0,0,0
150.059967,4,6,63.033897,0,0,0,0
150.081711,4,6,45.993492,0,0,0,0
150.099747,4,6,55.426041,0,0,0,0
180.000473,4,7,60.541775,1,1,0,0
180.017578,4,7,58.451725,0,0,0,0
180.045074,4,7,36.377449,0,0,0,0
180.065872,4,7,48.092491,0,0,0,0
180.08255,4,7,59.949608,0,0,0,0
210.000122,8,9,16.381388,7,7,0,0
210.033829,8,9,29.66531,0,0,0,0
210.06395,8,9,33.192829,0,0,0,0
210.088455,8,9,40.816113,0,0,0,0
240.009308,8,9,39.742699,0,0,0,0
240.031189,8,9,45.702015,0,0,0,0
240.065628,8,9,29.041775,0,0,0,0
240.089737,8,9,41.476891,0,0,0,0
270.020111,15,12,23.752682,11,11,0,0
270.081696,15,12,16.240236,0,0,0,0
300.034332,14,10,21.396891,0,0,0,0
