GameTime,PreyPopulation,PredatorPopulation,FPS,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
30.012928,5,5,71.427628,0,0,0,0
30.0278,5,5,67.243637,0,0,0,0
30.041422,5,5,73.4058,0,0,0,0
30.054962,5,5,73.855568,0,0,0,0
30.067982,5,5,76.809349,0,0,0,0
30.081335,5,5,74.891327,0,0,0,0
30.095615,5,5,70.022736,0,0,0,0
60.014172,5,5,61.243412,0,0,0,0
60.028088,5,5,71.865654,0,0,0,0
60.040668,5,5,79.474174,0,0,0,0
60.055538,5,5,67.250778,0,0,0,0
60.068951,5,5,74.560432,0,0,0,0
60.082581,5,5,73.37175,0,0,0,0
60.096321,5,5,72.778946,0,0,0,0
90.004387,7,5,75.686279,2,0,0,0
90.017494,7,5,76.304596,0,0,0,0
90.029526,7,5,83.114494,0,0,0,0
90.052528,7,5,43.475124,0,0,0,0
90.092232,7,5,25.185583,0,0,0,0
120.008308,4,0,39.615803,0,0,0,0
120.022232,4,0,71.804504,0,0,0,0
120.033775,4,0,86.618484,0,0,0,0
120.047318,4,0,73.825409,0,0,0,0
120.060822,4,0,74.060867,0,0,0,0
120.073448,4,0,79.198143,0,0,0,0
120.084671,4,0,89.084671,0,0,0,0
120.097656,4,0,77.031418,0,0,0,0
150.014084,8,0,66.471962,4,0,0,0
150.029099,8,0,66.603127,0,0,0,0
150.042404,8,0,75.120255,0,0,0,0
150.056961,8,0,68.675774,0,0,0,0
150.071823,8,0,67.316956,0,0,0,0
150.087219,8,0,64.937202,0,0,0,0
180.005127,8,0,68.068184,0,0,0,0
180.020935,8,0,63.287636,0,0,0,0
180.035049,8,0,70.839912,0,0,0,0
180.04892,8,0,72.064117,0,0,0,0
180.063461,8,0,68.793373,0,0,0,0
180.078827,8,0,65.06739,0,0,0,0
180.093903,8,0,66.358696,0,0,0,0
210.00647,16,0,26.345802,8,0,0,0
210.022202,16,0,63.549789,0,0,0,0
210.041077,16,0,52.981663,0,0,0,0
210.05835,16,0,57.875717,0,0,0,0
210.076416,16,0,55.37027,0,0,0,0
210.093307,16,0,59.19672,0,0,0,0
240.000458,16,0,54.226776,0,0,0,0
240.025589,16,0,39.798309,0,0,0,0
240.063354,16,0,26.47587,0,0,0,0
240.085373,16,0,45.409325,0,0,0,0
270.000458,32,0,17.085623,16,0,0,0
270.032104,32,0,31.588531,0,0,0,0
270.058105,32,0,38.45134,0,0,0,0
270.083069,32,0,40.054626,0,0,0,0
300.013306,32,0,21.036966,0,0,0,0
300.046326,32,0,30.274876,0,0,0,0
300.071472,32,0,39.744564,0,0,0,0
