GameTime,PreyPopulation,PredatorPopulation,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
50.206326,5,3,0,0,0,0
52.23114,4,3,0,0,0,0
61.864891,4,3,1,0,0,0
62.376987,5,3,1,0,0,0
65.423027,6,3,1,0,0,0
74.00106,6,4,1,1,0,0
90.327286,6,4,0,0,0,0
97.00425,5,4,0,0,0,1
111.003456,5,4,1,1,0,0
115.619293,5,4,0,0,0,0
118.274094,4,4,0,0,0,0
125.256531,4,4,1,0,0,0
125.764076,5,4,1,0,0,0
134.056946,6,4,1,0,0,0
158.410568,6,4,0,0,0,0
170.003357,5,4,0,0,0,1
176.250427,5,3,0,0,0,0
186.004547,4,4,1,1,0,0
186.849014,5,4,1,0,0,0
188.36763,5,4,0,0,0,0
191.307297,5,4,1,0,0,0
198.000793,5,5,1,1,0,0
202.491272,5,5,0,0,0,0
204.051483,4,5,0,0,0,0
205.666534,4,5,1,0,0,0
215.002533,4,6,1,1,0,0
226.384995,4,6,0,0,0,0
240.002121,3,6,0,0,0,1
248.004745,3,6,1,1,0,0
248.314865,3,6,0,0,0,0
256.277924,2,6,0,0,0,0
260.489441,1,6,0,0,0,0
267.003448,0,6,0,0,0,1
296.001862,0,5,0,0,0,1
