GameTime,PreyPopulation,PredatorPopulation,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
51.003605,3,1,0,0,0,1
61.800148,4,0,1,0,0,0
61.800148,5,0,1,0,0,0
65.357742,6,0,1,0,0,0
118.004906,6,0,0,0,0,0
123.574219,6,0,1,0,0,0
127.130043,7,0,1,0,0,0
129.162323,8,0,1,0,0,0
134.22316,9,0,1,0,0,0
181.84256,9,0,0,0,0,0
186.383499,8,0,0,0,0,0
186.909103,9,0,1,0,0,0
189.959686,9,0,1,0,0,0
191.988373,10,0,1,0,0,0
209.202072,10,0,0,0,0,0
209.258286,11,0,1,0,0,0
241.607422,10,0,0,0,0,0
242.116714,10,0,0,0,0,0
250.360672,9,0,1,0,0,0
251.87825,10,0,1,0,0,0
259.480743,11,0,1,0,0,0
259.898376,11,0,0,0,0,0
273.670715,10,0,0,0,0,0
291.90744,10,0,1,0,0,0
