GameTime,PreyPopulation,PredatorPopulation,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
51.004223,5,3,0,0,0,1
51.004223,5,3,0,0,0,1
55.237164,5,1,0,0,0,0
60.312313,4,1,0,0,0,0
61.840359,4,1,1,0,0,0
61.840359,5,1,1,0,0,0
65.003647,5,2,1,1,0,0
76.562157,6,2,1,0,0,0
88.242104,6,2,0,0,0,0
123.815224,6,2,1,0,0,0
124.195625,6,2,0,0,0,0
138.436951,6,2,1,0,0,0
144.59993,7,2,1,0,0,0
159.002563,7,3,1,1,0,0
164.426193,7,3,0,0,0,0
173.004028,6,4,1,1,0,0
174.087219,6,4,0,0,0,0
182.723602,6,4,1,0,0,0
184.758362,7,4,1,0,0,0
186.286636,7,4,0,0,0,0
188.311264,6,4,0,0,0,0
206.589523,6,4,1,0,0,0
225.001602,6,4,0,0,0,1
228.965042,6,3,0,0,0,0
233.003693,5,3,0,0,0,1
244.178391,5,2,0,0,0,0
246.665863,5,2,1,0,0,0
252.004944,5,3,1,1,0,0
256.831818,5,3,0,0,0,0
263.427368,5,3,1,0,0,0
264.000092,5,4,1,1,0,0
269.088959,6,4,1,0,0,0
276.180389,6,4,0,0,0,0
300.000305,5,4,0,0,0,1
