GameTime,PreyPopulation,PredatorPopulation,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
50.138336,5,1,0,0,0,0
61.786057,5,1,1,0,0,0
62.302116,6,1,1,0,0,0
74.469055,6,1,0,0,0,0
85.617477,5,1,0,0,0,0
97.002396,4,2,1,1,0,0
108.36824,4,2,0,0,0,0
124.118408,3,2,0,0,0,0
125.607285,3,2,1,0,0,0
144.365158,3,2,0,0,0,0
158.608002,3,2,1,0,0,0
187.00238,3,2,0,0,0,1
190.503021,4,1,1,0,0,0
191.00238,4,1,0,0,0,1
219.866394,5,0,1,0,0,0
240.563293,5,0,0,0,0,0
247.219131,5,0,1,0,0,0
252.294342,6,0,1,0,0,0
281.161591,7,0,1,0,0,0
285.208832,8,0,1,0,0,0
