GameTime,PreyPopulation,PredatorPopulation,FPS,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
0.03199,5,5,31.259674,0,0,0,0
30.005178,5,5,28.29764,0,0,0,0
30.017931,5,5,78.4179,0,0,0,0
30.032436,5,5,68.943275,0,0,0,0
30.049139,5,5,59.870197,0,0,0,0
30.06282,5,5,73.092094,0,0,0,0
30.076191,5,5,74.796173,0,0,0,0
30.089659,5,5,74.247665,0,0,0,0
60.007816,5,5,68.281181,0,0,0,0
60.021458,5,5,73.305885,0,0,0,0
60.034866,5,5,74.580193,0,0,0,0
60.047062,5,5,82.002457,0,0,0,0
60.060638,5,5,73.655716,0,0,0,0
60.074692,5,5,71.154549,0,0,0,0
60.088402,5,5,72.948837,0,0,0,0
90.001144,6,5,69.184448,1,0,0,0
90.015892,6,5,67.79837,0,0,0,0
90.030914,6,5,66.573349,0,0,0,0
90.047829,6,5,59.124825,0,0,0,0
90.063118,6,5,65.398575,0,0,0,0
90.078033,6,5,67.05127,0,0,0,0
90.092285,6,5,70.162476,0,0,0,0
120.008034,2,0,79.609131,0,0,0,0
120.022423,2,0,69.497887,0,0,0,0
120.035316,2,0,77.548233,0,0,0,0
120.047653,2,0,81.062325,0,0,0,0
120.059052,2,0,87.710991,0,0,0,0
120.072021,2,0,77.106491,0,0,0,0
120.084915,2,0,77.550629,0,0,0,0
120.096794,2,0,84.18985,0,0,0,0
150.003448,4,0,72.520393,2,0,0,0
150.016052,4,0,79.376968,0,0,0,0
150.030396,4,0,69.700737,0,0,0,0
150.045059,4,0,68.163506,0,0,0,0
150.058197,4,0,76.09584,0,0,0,0
150.071899,4,0,72.995117,0,0,0,0
150.084122,4,0,81.787865,0,0,0,0
150.097305,4,0,75.854103,0,0,0,0
180.006516,4,0,82.325172,0,0,0,0
180.01915,4,0,79.131279,0,0,0,0
180.03299,4,0,72.2575,0,0,0,0
180.046143,4,0,76.061531,0,0,0,0
180.058533,4,0,80.690216,0,0,0,0
180.071564,4,0,76.720879,0,0,0,0
180.091614,4,0,49.857239,0,0,0,0
210.003952,8,0,62.070911,4,0,0,0
210.023621,8,0,50.837543,0,0,0,0
210.038345,8,0,67.883827,0,0,0,0
210.061447,8,0,43.30035,0,0,0,0
210.078018,8,0,60.333977,0,0,0,0
210.094177,8,0,61.873684,0,0,0,0
240.004791,8,0,49.042915,0,0,0,0
240.022903,8,0,55.196415,0,0,0,0
240.043167,8,0,49.366196,0,0,0,0
240.059509,8,0,61.166481,0,0,0,0
240.084137,8,0,40.60593,0,0,0,0
240.098816,8,0,68.150665,0,0,0,0
270.014008,16,0,43.132133,8,0,0,0
270.03894,16,0,40.086342,0,0,0,0
270.061249,16,0,44.803295,0,0,0,0
270.087799,16,0,37.670807,0,0,0,0
300.018402,16,0,42.082333,0,0,0,0
300.039581,16,0,47.215157,0,0,0,0
300.06073,16,0,47.311356,0,0,0,0
300.079315,16,0,53.784321,0,0,0,0
